iter	Passed	Remaining
0	148	148135
1	150	75201
2	152	50832
3	155	38642
4	157	31356
5	160	26526
6	162	23047
7	164	20399
8	166	18304
9	167	16619
10	169	15231
11	170	14055
12	172	13068
13	173	12212
14	174	11464
15	175	10796
16	176	10217
17	177	9697
18	178	9228
19	179	8799
20	180	8414
21	181	8059
22	182	7736
23	182	7436
24	183	7164
25	184	6909
26	185	6672
27	186	6458
28	186	6253
29	187	6061
30	188	5883
31	188	5712
32	189	5556
33	190	5407
34	191	5268
35	191	5140
36	192	5012
37	193	4895
38	194	4791
39	195	4683
40	195	4580
41	196	4482
42	197	4388
43	197	4301
44	198	4216
45	199	4134
46	200	4060
47	200	3986
48	201	3913
49	202	3843
50	202	3775
51	203	3709
52	204	3647
53	204	3590
54	205	3532
55	206	3476
56	207	3425
57	207	3374
58	208	3328
59	209	3280
60	210	3233
61	210	3188
62	211	3143
63	212	3101
64	212	3060
65	213	3020
66	214	2985
67	214	2946
68	215	2908
69	216	2871
70	216	2834
71	217	2799
72	217	2764
73	218	2731
74	218	2699
75	219	2667
76	219	2637
77	220	2606
78	221	2577
79	221	2550
80	222	2525
81	223	2499
82	223	2469
83	224	2444
84	224	2419
85	225	2395
86	226	2371
87	226	2348
88	227	2326
89	227	2303
90	228	2281
91	228	2260
92	229	2238
93	230	2217
94	230	2198
95	231	2178
96	231	2158
97	232	2139
98	232	2120
99	233	2101
100	234	2083
101	234	2066
102	235	2049
103	236	2033
104	236	2018
105	237	2003
106	238	1988
107	238	1973
108	239	1959
109	240	1945
110	241	1930
111	241	1915
112	242	1901
113	242	1887
114	243	1873
115	244	1860
116	244	1845
117	245	1832
118	245	1819
119	246	1805
120	246	1793
121	247	1779
122	247	1766
123	248	1754
124	248	1742
125	249	1730
126	249	1717
127	250	1706
128	251	1695
129	251	1685
130	252	1676
131	253	1666
132	253	1655
133	254	1645
134	255	1635
135	256	1626
136	257	1623
137	258	1614
138	259	1604
139	259	1595
140	260	1585
141	260	1574
142	261	1565
143	261	1555
144	262	1546
145	262	1538
146	263	1529
147	264	1521
148	265	1513
149	265	1505
150	266	1497
151	267	1491
152	268	1487
153	269	1480
154	270	1473
155	270	1465
156	271	1459
157	272	1451
158	273	1444
159	273	1437
160	274	1428
161	274	1421
162	275	1413
163	276	1407
164	276	1399
165	277	1392
166	277	1385
167	278	1378
168	278	1371
169	279	1364
170	280	1357
171	280	1351
172	281	1345
173	282	1340
174	283	1334
175	283	1328
176	284	1322
177	285	1316
178	285	1310
179	286	1304
180	286	1298
181	287	1293
182	288	1287
183	289	1282
184	289	1277
185	290	1272
186	291	1267
187	292	1261
188	292	1255
189	293	1250
190	293	1244
191	294	1239
192	295	1233
193	295	1228
194	296	1222
195	297	1218
196	297	1213
197	298	1209
198	299	1204
199	299	1199
200	300	1194
201	301	1189
202	301	1184
203	302	1180
204	303	1175
205	303	1170
206	304	1165
207	304	1160
208	305	1155
209	305	1151
210	306	1146
211	307	1141
212	307	1136
213	308	1131
214	308	1127
215	309	1122
216	309	1117
217	310	1113
218	311	1109
219	311	1105
220	312	1101
221	313	1098
222	314	1094
223	314	1090
224	315	1086
225	315	1081
226	316	1077
227	317	1073
228	317	1069
229	318	1066
230	319	1062
231	319	1058
232	320	1054
233	321	1050
234	321	1046
235	322	1042
236	322	1039
237	323	1035
238	323	1031
239	324	1027
240	325	1023
241	325	1019
242	326	1017
243	327	1014
244	327	1010
245	328	1007
246	329	1003
247	329	1000
248	330	997
249	331	993
250	331	990
251	332	986
252	333	983
253	333	980
254	334	976
255	334	972
256	335	969
257	335	966
258	336	962
259	337	959
260	337	955
261	338	952
262	338	949
263	339	945
264	339	942
265	340	939
266	341	937
267	342	934
268	342	931
269	343	928
270	343	925
271	344	922
272	345	919
273	345	916
274	346	913
275	346	910
276	347	907
277	348	904
278	348	900
279	349	897
280	349	894
281	350	892
282	350	889
283	351	886
284	351	883
285	352	880
286	353	877
287	353	874
288	354	871
289	354	869
290	355	866
291	356	864
292	357	861
293	357	858
294	358	856
295	359	853
296	359	851
297	360	848
298	360	846
299	361	843
300	362	840
301	362	838
302	363	835
303	363	833
304	364	830
305	365	827
306	365	825
307	366	822
308	366	819
309	367	817
310	367	814
311	368	812
312	368	809
313	369	807
314	370	804
315	370	802
316	371	800
317	372	798
318	372	796
319	373	793
320	374	791
321	374	788
322	375	786
323	375	783
324	376	781
325	376	779
326	377	776
327	378	774
328	378	772
329	379	769
330	379	767
331	380	764
332	380	762
333	381	760
334	381	758
335	382	756
336	383	754
337	384	752
338	385	751
339	386	749
340	386	747
341	387	745
342	388	743
343	389	741
344	389	739
345	390	737
346	391	735
347	391	733
348	392	731
349	392	729
350	393	727
351	393	725
352	394	723
353	395	720
354	395	718
355	396	717
356	397	715
357	397	713
358	398	711
359	399	709
360	399	707
361	400	705
362	400	703
363	401	701
364	402	699
365	402	697
366	403	696
367	404	694
368	404	692
369	405	690
370	406	688
371	406	686
372	407	684
373	407	682
374	408	680
375	408	678
376	409	676
377	410	675
378	411	673
379	411	671
380	412	670
381	413	668
382	413	666
383	414	664
384	414	662
385	415	660
386	416	658
387	416	657
388	417	655
389	418	653
390	418	652
391	419	650
392	419	648
393	420	646
394	421	645
395	421	643
396	422	641
397	422	639
398	423	638
399	424	636
400	424	634
401	425	632
402	425	630
403	426	628
404	426	627
405	427	625
406	427	623
407	428	621
408	429	620
409	429	618
410	430	616
411	430	614
412	431	613
413	432	611
414	432	610
415	433	608
416	434	606
417	434	605
418	435	603
419	435	602
420	436	600
421	437	598
422	437	597
423	438	595
424	438	593
425	439	592
426	440	590
427	440	588
428	441	587
429	441	585
430	442	584
431	443	582
432	443	580
433	444	579
434	444	577
435	445	576
436	446	574
437	446	573
438	447	571
439	448	570
440	448	568
441	449	567
442	449	565
443	450	564
444	451	562
445	451	561
446	452	559
447	452	558
448	453	556
449	453	554
450	454	553
451	455	551
452	455	550
453	456	548
454	456	547
455	457	545
456	457	544
457	458	542
458	458	540
459	459	539
460	460	537
461	460	536
462	461	535
463	462	533
464	462	532
465	463	531
466	464	529
467	464	528
468	465	527
469	466	525
470	466	524
471	467	522
472	467	521
473	468	519
474	468	518
475	469	516
476	469	515
477	470	513
478	471	512
479	471	510
480	472	509
481	472	508
482	473	506
483	473	505
484	474	503
485	475	502
486	476	501
487	476	500
488	477	498
489	478	497
490	478	496
491	479	495
492	480	493
493	480	492
494	481	491
495	482	489
496	482	488
497	483	487
498	484	486
499	484	484
500	485	483
501	485	481
502	486	480
503	486	479
504	487	477
505	487	476
506	488	475
507	489	473
508	489	472
509	490	471
510	491	469
511	491	468
512	492	467
513	493	466
514	493	464
515	494	463
516	494	462
517	495	461
518	496	459
519	496	458
520	497	457
521	497	455
522	498	454
523	499	453
524	499	452
525	500	450
526	500	449
527	501	448
528	501	446
529	502	445
530	502	444
531	503	442
532	504	441
533	504	440
534	505	439
535	506	438
536	507	437
537	508	436
538	508	435
539	509	433
540	509	432
541	510	431
542	511	430
543	511	428
544	512	427
545	512	426
546	513	425
547	513	423
548	514	422
549	515	421
550	515	420
551	516	418
552	516	417
553	517	416
554	517	415
555	518	413
556	519	412
557	519	411
558	520	410
559	521	409
560	522	408
561	522	407
562	523	406
563	523	404
564	524	403
565	525	402
566	525	401
567	526	400
568	526	399
569	527	397
570	528	396
571	528	395
572	529	394
573	529	393
574	530	391
575	530	390
576	531	389
577	532	388
578	532	387
579	533	386
580	533	384
581	534	383
582	534	382
583	535	381
584	536	380
585	537	379
586	537	378
587	538	377
588	539	376
589	539	375
590	540	373
591	541	372
592	541	371
593	542	370
594	543	369
595	543	368
596	544	367
597	544	366
598	545	365
599	546	364
600	546	362
601	547	361
602	547	360
603	548	359
